video_path,npy_path,label,split,class_index
Adjectives/1. loud/MVI_9448.MOV,extracted_landmarks\Adjectives\1. loud\MVI_9448.npy,1. loud,train,1.0
Places/19. House/MVI_3515.MOV,extracted_landmarks\Places\19. House\MVI_3515.npy,19. House,train,5.0
Adjectives/83. big large/MVI_5204.MOV,extracted_landmarks\Adjectives\83. big large\MVI_5204.npy,83. big large,train,41.0
Jobs/91. Priest/MVI_5345.MOV,extracted_landmarks\Jobs\91. Priest\MVI_5345.npy,91. Priest,train,46.0
Places/23. Court/MVI_3612.MOV,extracted_landmarks\Places\23. Court\MVI_3612.npy,23. Court,train,8.0
Means_of_Transportation/16. train ticket/MVI_8596.MP4,extracted_landmarks\Means_of_Transportation\16. train ticket\MVI_8596.npy,16. train ticket,train,4.0
Places/23. Court/MVI_3531.MOV,extracted_landmarks\Places\23. Court\MVI_3531.npy,23. Court,train,8.0
Pronouns/44. it/MVI_0014.MOV,extracted_landmarks\Pronouns\44. it\MVI_0014.npy,44. it,train,20.0
Places/19. House/MVI_3436.MOV,extracted_landmarks\Places\19. House\MVI_3436.npy,19. House,train,5.0
Clothes/44. Shoes/MVI_3711.MOV,extracted_landmarks\Clothes\44. Shoes\MVI_3711.npy,44. Shoes,train,19.0
Animals/1. Dog/MVI_3060.MOV,extracted_landmarks\Animals\1. Dog\MVI_3060.npy,1. Dog,train,0.0
Animals/1. Dog/MVI_3030.MOV,extracted_landmarks\Animals\1. Dog\MVI_3030.npy,1. Dog,train,0.0
Greetings/55. Thank you/MVI_0111.MOV,extracted_landmarks\Greetings\55. Thank you\MVI_0111.npy,55. Thank you,train,29.0
Society/14. Election/MVI_4307.MOV,extracted_landmarks\Society\14. Election\MVI_4307.npy,14. Election,train,3.0
Animals/5. Cow/MVI_3047.MOV,extracted_landmarks\Animals\5. Cow\MVI_3047.npy,5. Cow,train,24.0
Home/28. Window/MVI_8769.MP4,extracted_landmarks\Home\28. Window\MVI_8769.npy,28. Window,train,10.0
Adjectives/2. quiet/MVI_5338.MOV,extracted_landmarks\Adjectives\2. quiet\MVI_5338.npy,2. quiet,train,7.0
Adjectives/97. dry/MVI_5328.MOV,extracted_landmarks\Adjectives\97. dry\MVI_5328.npy,97. dry,train,49.0
Adjectives/78. long/MVI_5186.MOV,extracted_landmarks\Adjectives\78. long\MVI_5186.npy,78. long,train,39.0
Greetings/48. Hello/MVI_0090.MOV,extracted_landmarks\Greetings\48. Hello\MVI_0090.npy,48. Hello,train,23.0
Adjectives/97. dry/MVI_9523.MOV,extracted_landmarks\Adjectives\97. dry\MVI_9523.npy,97. dry,train,49.0
Greetings/48. Hello/MVI_9983.MOV,extracted_landmarks\Greetings\48. Hello\MVI_9983.npy,48. Hello,train,23.0
Animals/5. Cow/MVI_2992.MOV,extracted_landmarks\Animals\5. Cow\MVI_2992.npy,5. Cow,train,24.0
Animals/4. Bird/MVI_4155.MOV,extracted_landmarks\Animals\4. Bird\MVI_4155.npy,4. Bird,train,15.0
Places/23. Court/MVI_3610.MOV,extracted_landmarks\Places\23. Court\MVI_3610.npy,23. Court,train,8.0
Adjectives/83. big large/MVI_9317.MOV,extracted_landmarks\Adjectives\83. big large\MVI_9317.npy,83. big large,train,41.0
Places/35. Bank/MVI_3502.MOV,extracted_landmarks\Places\35. Bank\MVI_3502.npy,35. Bank,train,13.0
